HeaderSTRESSTESTS,idCHAR,nameCHAR,objectCHAR,objecttypeCHAR,shocktypeCHAR,termCHAR,axis_xCHAR,axis_yCHAR,axis_zCHAR,method_interpolationCHAR,shockvalueCHAR
Item,STRESS01,IR-150bp,IR_EUR,curve,absolute,365,,,,linear,-0.015
Item,STRESS02,IR-100bp,IR_EUR,curve,absolute,365,,,,linear,-0.01
Item,STRESS03,IR-50bp,IR_EUR,curve,absolute,365,,,,linear,-0.005
Item,STRESS04,IR+50bp,IR_EUR,curve,absolute,365,,,,linear,+0.005
Item,STRESS05,IR+100bp,IR_EUR,curve,absolute,365,,,,linear,+0.01
Item,STRESS06,IR+150bp,IR_EUR,curve,absolute,365,,,,linear,+0.015
Item,STRESS07,IR_EURTwistPos,IR_EUR,curve,absolute,365|2920|7300,,,,linear,0.015|0.0|-0.01
Item,STRESS08,IR_EURTwistNeg,IR_EUR,curve,absolute,365|2920|7300,,,,linear,-0.015|0.0|+0.01
Item,STRESS09,IR_EURButterflyPos,IR_EUR,curve,absolute,365|3650|7300,,,,linear,+0.005|-0.005|+0.005
Item,STRESS10,IR_EURButterflyNeg,IR_EUR,curve,absolute,365|3650|7300,,,,linear,-0.005|+0.0105|-0.005
