HeaderSTRESSTESTS,idCHAR,nameCHAR,objectCHAR,objecttypeCHAR,shocktypeCHAR,termCHAR,axis_xCHAR,axis_yCHAR,axis_zCHAR,method_interpolationCHAR,shockvalueCHAR,minshockNMBR,maxshockNMBR
Item,STRESS01,SCR_MKT_INT_UP,IR_EUR,curve,relative,90|180|365|3650|7300|10950,,,,linear,1.7|1.7|1.7|1.42|1.26|1.25,,
Item,STRESS02,SCR_MKT_INT_DOWN,IR_EUR,curve,relative,365|730|3650|7300|10950,,,,linear,0.25|0.35|0.69|0.71|0.70,0.01,
Item,STRESS03,SCR_MKT_EQ_DOWN,EQ_DE,index,relative,,,,,linear,0.61,,
Item,STRESS03,SCR_MKT_EQ_DOWN,EQ_EUR,index,relative,,,,,linear,0.61,,
Item,STRESS03,SCR_MKT_EQ_DOWN,EQ_EM,index,relative,,,,,linear,0.61,,
Item,STRESS03,SCR_MKT_EQ_DOWN,EQ_ASIA,index,relative,,,,,linear,0.61,,
Item,STRESS03,SCR_MKT_EQ_DOWN,EQ_NA,index,relative,,,,,linear,0.61,,
Item,STRESS03,SCR_MKT_EQ_DOWN,RF_EQ_DE,riskfactor,value,,,,,linear,-0.49430,,
Item,STRESS03,SCR_MKT_EQ_DOWN,RF_EQ_NA,riskfactor,value,,,,,linear,-0.49430,,
Item,STRESS03,SCR_MKT_EQ_DOWN,RF_EQ_EUR,riskfactor,value,,,,,linear,-0.49430,,
Item,STRESS03,SCR_MKT_EQ_DOWN,RF_EQ_EU,riskfactor,value,,,,,linear,-0.49430,,
Item,STRESS03,SCR_MKT_EQ_DOWN,RF_EQ_EM,riskfactor,value,,,,,linear,-0.49430,,
Item,STRESS03,SCR_MKT_EQ_DOWN,RF_EQ_AP,riskfactor,value,,,,,linear,-0.49430,,
Item,STRESS03,SCR_MKT_EQ_DOWN,EQ_PCP,index,relative,,,,,linear,0.78,,
Item,STRESS03,SCR_MKT_EQ_DOWN,EQ_OTHER,index,relative,,,,,linear,0.51,,
Item,STRESS04,SCR_MKT_PROP_DOWN,REIT_GLOBAL,index,relative,,,,,linear,0.75,,
Item,STRESS04,SCR_MKT_PROP_DOWN,RF_RE_DM,riskfactor,value,,,,,linear,-0.28768,,
Item,STRESS05,SCR_MKT_FX_DOWN,FX_EURUSD,index,relative,,,,,linear,0.75,,
Item,STRESS05,SCR_MKT_FX_DOWN,FX_EURGBP,index,relative,,,,,linear,0.75,,
Item,STRESS05,SCR_MKT_FX_DOWN,FX_EURYEN,index,relative,,,,,linear,0.75,,
Item,STRESS05,SCR_MKT_FX_DOWN,FX_EURDKK,index,relative,,,,,linear,0.9775,,
Item,STRESS06,SCR_MKT_FX_UP,FX_EURUSD,index,relative,,,,,linear,1.25,,
Item,STRESS06,SCR_MKT_FX_UP,FX_EURGBP,index,relative,,,,,linear,1.25,,
Item,STRESS06,SCR_MKT_FX_UP,FX_EURYEN,index,relative,,,,,linear,1.25,,
Item,STRESS06,SCR_MKT_FX_UP,FX_EURDKK,index,relative,,,,,linear,1.0225,,
