1_Portfolio_identifying_data;2_Type_of_identification_code_for_the_fund_share_or_portfolio;3_Portfolio_name;4_Portfolio_currency_(B);5_Net_asset_valuation_of_the_portfolio_or_the_share_class_in_portfolio_currency;6_Valuation_date;7_Reporting_date;8_Share_price;8b_Total_number_of_shares;9_Cash_ratio;10_Portfolio_modified_duration;11_Complete_SCR_delivery;12_CIC_code_of_the_instrument;13_Economic_zone_of_the_quotation_place;14_Identification_code_of_the_instrument;15_Type_of_identification_code_for_the_instrument;16_Grouping_code_for_multiple_leg_instruments;17_Instrument_name;17b_Asset_liability;18_Quantity;19_Nominal_amount;20_Contract_size_for_derivatives;21_Quotation_currency_(A);22_Market_valuation_in_quotation_currency_(A);23_Clean_market_valuation_in_quotation_currency_(A);24_Market_valuation_in_portfolio_currency_(B);25_Clean_market_valuation_in_portfolio_currency_(B);26_Valuation_weight;27_Market_exposure_amount_in_quotation_currency_(A);28_Market_exposure_amount_in_portfolio_currency_(B);29_Market_exposure_amount_for_the_3rd_quotation_currency_(C);30_Market_exposure_in_weight;31_Market_exposure_for_the_3rd_currency_in_weight_over_NAV;32_Interest_rate_type;33_Coupon_rate;34_Interest_rate_reference_identification;35_Identification_type_for_interest_rate_index;36_Interest_rate_index_name;37_Interest_rate_margin;38_Coupon_payment_frequency;39_Maturity_date;40_Redemption_type;41_Redemption_rate;42_Callable_putable;43_Call_put_date;44_Issuer_bearer_option_exercise;45_Strike_price_for_embedded_(call_put)_options;46_Issuer_name;47_Issuer_identification_code;48_Type_of_identification_code_for_issuer;49_Name_of_the_group_of_the_issuer;50_Identification_of_the_group;51_Type_of_identification_code_for_issuer_group;52_Issuer_country;53_Issuer_economic_area;54_Economic_sector;55_Covered_not_covered;56_Securitisation;57_Explicit_guarantee_by_the_country_of_issue;58_Subordinated_debt;58b_Nature_of_the_tranche;59_Credit_quality_step;60_Call_Put_Cap_Floor;61_Strike_price;62_Conversion_factor_(convertibles)_concordance_factor_parity_(options);63_Effective_date_of_instrument;64_Exercise_type;65_Hedging_rolling;67_CIC_of_the_underlying_asset;68_Identification_code_of_the_underlying_asset;69_Type_of_identification_code_for_the_underlying_asset;70_Name_of_the_underlying_asset;71_Quotation_currency_of_the_underlying_asset_(C);72_Last_valuation_price_of_the_underlying_asset;73_Country_of_quotation_of_the_underlying_asset;74_Economic_area_of_quotation_of_the_underlying_asset;75_Coupon_rate_of_the_underlying_asset;76_Coupon_payment_frequency_of_the_underlying_asset;77_Maturity_date_of_the_underlying_asset;78_Redemption_profile_of_the_underlying_asset;79_Redemption_rate_of_the_underlying_asset;80_Issuer_name_of_the_underlying_asset;81_Issuer_identification_code_of_the_underlying_asset;82_Type_of_issuer_identification_code_of_the_underlying_asset;83_Name_of_the_group_of_the_issuer_of_the_underlying_asset;84_Identification_of_the_group_of_the_underlying_asset;85_Type_of_the_group_identification_code_of_the_underlying_asset;86_Issuer_country_of_the_underlying_asset;87_Issuer_economic_area_of_the_underlying_asset;88_Explicit_guarantee_by_the_country_of_issue_of_the_underlying_asset;89_Credit_quality_step_of_the_underlying_asset;90_Modified_duration_to_maturity_date;91_Modified_duration_to_next_option_exercise_date;92_Credit_sensitivity;93_Sensitivity_to_underlying_asset_price_(delta);94_Convexity_gamma_for_derivatives;94b_Vega;95_Identification_of_the_original_portfolio_for_positions_embedded_in_a_fund;97_SCR_mrkt_IR_up_weight_over_NAV;98_SCR_mrkt_IR_down_weight_over_NAV;99_SCR_mrkt_eq_type1_weight_over_NAV;100_SCR_mrkt_eq_type2_weight_over_NAV;101_SCR_mrkt_prop_weight_over_NAV;102_SCR_mrkt_spread_bonds_weight_over_NAV;103_SCR_mrkt_spread_structured_weight_over_NAV;104_SCR_mrkt_spread_derivatives_up_weight_over_NAV;105_SCR_mrkt_spread_derivatives_down_weight_over_NAV;105a_SCR_mrkt_FX_up_weight_over_NAV;105b_SCR_mrkt_FX_down_weight_over_NAV;106_Asset_pledged_as_collateral;107_Place_of_deposit;108_Participation;110_Valorisation_method;111_Value_of_acquisition;112_Credit_rating;113_Rating_agency;114_Issuer_economic_area;115_Fund_issuer_code;116_Fund_issuer_code_type;117_Fund_issuer_name;118_Fund_issuer_sector;119_Fund_issuer_group_code;120_Fund_issuer_group_code_type;121_Fund_issuer_group_name;122_Fund_issuer_country;123_Fund_CIC;123a_Fund_custodian_country;124_Duration;125_Accrued_income_(Security Denominated Currency);126_Accrued_income_(Portfolio Denominated Currency);127_Bond_floor_(convertible_instrument_only);128_Option_premium_(convertible_instrument_only);129_Valuation_yield;130_Valuation_z_spread;131_Underlying_asset_category;132_Infrastructure_investment;133_custodian_name;1000_tpt_Version
XX12345678;1;Global Diversified;EUR;125129.2954;2016-06-30;2019-03-25;0;0;0.79917;0;Y;;;A0RFFT;1;;;A;65;;;USD;6014.3056;6014.3056;6014.3056;6014.3056;4.8065;6014.3056;6014.3056;;4.8027;;;;;;;;;;;;;;B;;;;9;;;9;;1;;;;;;;9;;;;;;;;1;1;;;;;1;;1;;;;;;9;;;9;;1;;;7.8;;;;0;;;0;0;0;0;0;;;;;0.016022;-0.0096129;9;;2;1;;;;1;;;;;;;;;;;2.0479;0;2.2932;;;;;1;;;V4.0
XX12345678;1;Global Diversified;EUR;125129.2954;2016-06-30;2019-03-25;0;0;0.79917;0;Y;;;A1JB4Q;1;;;A;179;;;EUR;10829.5;10829.5;10829.5;10829.5;8.6546;10829.5;10829.5;;8.6479;;;;;;;;;;;;;;B;;;;9;;;9;;1;;;;;;;9;;;;;;;;1;1;;;;;1;;1;;;;;;9;;;9;;1;;;4.5;;;;11;;;0;0;0;0;0;;;;;0;0;9;;2;1;;;;1;;;;;;;;;;;2.0479;0;2.2932;;;;;1;;;V4.0
XX12345678;1;Global Diversified;EUR;125129.2954;2016-06-30;2019-03-25;0;0;0.79917;0;Y;;;A1J7CK;1;;;A;135;;;USD;11997.5;11997.5;11997.5;11997.5;9.5881;11997.5;11997.5;;9.5806;;;;;;;;;;;;;;B;;;;9;;;9;;1;;;;;;;9;;;;;;;;1;1;;;;;1;;1;;;;;;9;;;9;;1;;;12.1;;;;0;;;-0.0095992;0.011602;0;0;0;;;;;0.03196;-0.019176;9;;2;1;;;;1;;;;;;;;;;;2.0479;0;2.2932;;;;;1;;;V4.0
XX12345678;1;Global Diversified;EUR;125129.2954;2016-06-30;2019-03-25;0;0;0.79917;0;Y;;;A0RM43;1;;;A;14;;;USD;1328.4444;1328.4444;1328.4444;1328.4444;1.0617;1328.4444;1328.4444;;1.0608;;;;;;;;;;;;;;B;;;;9;;;9;;1;;;;;;;9;;;;;;;;1;1;;;;;1;;1;;;;;;9;;;9;;1;;;5.6;;;;0;;;0;0;0;0;0;;;;;0.0035389;-0.0021233;9;;2;1;;;;1;;;;;;;;;;;2.0479;0;2.2932;;;;;1;;;V4.0
XX12345678;1;Global Diversified;EUR;125129.2954;2016-06-30;2019-03-25;0;0;0.79917;0;Y;;;ETF127;1;;;A;543;;;EUR;19281.93;19281.93;19281.93;19281.93;15.4096;19281.93;19281.93;;15.3975;;;;;;;;;;;;;;B;;;;9;;;9;;1;;;;;;;9;;;;;;;;1;1;;;;;1;;1;;;;;;9;;;9;;1;;;;;;;;;;0;0;-0.060098;0;0;;;;;0;0;9;;2;1;;;;1;;;;;;;;;;;2.0479;0;2.2932;;;;;1;;;V4.0
XX12345678;1;Global Diversified;EUR;125129.2954;2016-06-30;2019-03-25;0;0;0.79917;0;Y;;;DBX1A7;1;;;A;24;;;EUR;1744.08;1744.08;1744.08;1744.08;1.3938;1744.08;1744.08;;1.3927;;;;;;;;;;;;;;B;;;;9;;;9;;1;;;;;;;9;;;;;;;;1;1;;;;;1;;1;;;;;;9;;;9;;1;;;;;;;;;;0;0;-0.0054359;0;0;;;;;0;0;9;;2;1;;;;1;;;;;;;;;;;2.0479;0;2.2932;;;;;1;;;V4.0
XX12345678;1;Global Diversified;EUR;125129.2954;2016-06-30;2019-03-25;0;0;0.79917;0;Y;;;513700;1;;;A;44;;;EUR;78.76;78.76;78.76;78.76;0.062943;78.76;78.76;;0.062894;;;;;;;;;;;;;;B;;;;9;;;9;;1;;;;;;;9;;;;;;;;1;1;;;;;1;;1;;;;;;9;;;9;;1;;;;;;;;;;0;0;-0.00028162;0;0;;;;;0;0;9;;2;1;;;;1;;;;;;;;;;;2.0479;0;2.2932;;;;;1;;;V4.0
XX12345678;1;Global Diversified;EUR;125129.2954;2016-06-30;2019-03-25;0;0;0.79917;0;Y;;;DBX1EU;1;;;A;33.35;;;EUR;1176.588;1176.588;1176.588;1176.588;0.9403;1176.588;1176.588;;0.93956;;;;;;;;;;;;;;B;;;;9;;;9;;1;;;;;;;9;;;;;;;;1;1;;;;;1;;1;;;;;;9;;;9;;1;;;;;;;;;;0;0;-0.0036672;0;0;;;;;0;0;9;;2;1;;;;1;;;;;;;;;;;2.0479;0;2.2932;;;;;1;;;V4.0
XX12345678;1;Global Diversified;EUR;125129.2954;2016-06-30;2019-03-25;0;0;0.79917;0;Y;;;ETF060;1;;;A;107;;;EUR;7791.74;7791.74;7791.74;7791.74;6.227;7791.74;7791.74;;6.2221;;;;;;;;;;;;;;B;;;;9;;;9;;1;;;;;;;9;;;;;;;;1;1;;;;;1;;1;;;;;;9;;;9;;1;;;;;;;;;;0;0;-0.024285;0;0;;;;;0;0;9;;2;1;;;;1;;;;;;;;;;;2.0479;0;2.2932;;;;;1;;;V4.0
XX12345678;1;Global Diversified;EUR;125129.2954;2016-06-30;2019-03-25;0;0;0.79917;0;Y;;;ETF114;1;;;A;159;;;EUR;7358.52;7358.52;7358.52;7358.52;5.8807;7358.52;7358.52;;5.8761;;;;;;;;;;;;;;B;;;;9;;;9;;1;;;;;;;9;;;;;;;;1;1;;;;;1;;1;;;;;;9;;;9;;1;;;;;;;;;;0;0;-0.022935;0;0;;;;;0;0;9;;2;1;;;;1;;;;;;;;;;;2.0479;0;2.2932;;;;;1;;;V4.0
