HeaderCASH,nameCHAR,idCHAR,value_baseNMBR,typeCHAR,descriptionCHAR,currencyCHAR,asset_classCHAR,rating_valuesCHAR,country_idCHAR,country_valuesCHAR,liquidity_classCHAR
Item,Cash Account CHF,CASH_CHF,1.0000,CASH,CHF Cash Account,CHF,Cash,1|0|0,CH,1.0,high
Item,Cash Account EUR,CASH_EUR,1.0000,CASH,EUR Cash Account,EUR,Cash,1|0|0,DE,1.0,high
HeaderSAVPLAN,nameCHAR,idCHAR,typeCHAR,descriptionCHAR,currencyCHAR,discount_curveCHAR,coupon_rateNMBR,coupon_generation_methodCHAR,termNMBR,term_unitCHAR,maturity_dateDATE,compounding_typeCHAR,savings_rateNMBR,savings_startdateDATE,savings_enddateDATE,extra_payment_valuesCHAR,extra_payment_datesCHAR,bonus_value_currentNMBR,bonus_value_redemptionNMBR,notice_periodNMBR,notice_period_unitCHAR,asset_classCHAR,rating_valuesCHAR,country_idCHAR,country_valuesCHAR,esg_scoreNMBR,liquidity_classCHAR
Item,BSV,BSV,SAVPLAN,,EUR,IR_EUR,0.026702,backward,1,months,31-Jul-2023,simple,86.0000,01-Jan-2018,01-Jul-2023,12664,01-Jan-2018,0.0000,0.0000,3.0000,months,Fixed Income,1|0|0,DE,1.0,7.3500,low
Item,SPARPLAN,SPARPLAN,SAVPLAN,,EUR,IR_EUR,0.015500,backward,1,months,05-May-2024,simple,1000.0000,05-May-2014,05-May-2021,35000,17-May-2019,0.1500,0.1500,3.0000,months,Fixed Income,1|0|0,DE,1.0,7.3500,mid
HeaderDCP,nameCHAR,idCHAR,typeCHAR,descriptionCHAR,currencyCHAR,discount_curveCHAR,coupon_rateNMBR,coupon_generation_methodCHAR,termNMBR,term_unitCHAR,maturity_dateDATE,compounding_typeCHAR,savings_rateNMBR,savings_startdateDATE,savings_enddateDATE,redemption_valuesCHAR,redemption_datesCHAR,notice_periodNMBR,notice_period_unitCHAR,savings_change_valuesCHAR,savings_change_datesCHAR,asset_classCHAR,rating_valuesCHAR,country_idCHAR,country_valuesCHAR,esg_scoreNMBR,liquidity_classCHAR
Item,PensionA,PensionA,DCP,,EUR,IR_EUR,0.000000,forward,1,months,01-Jun-2050,simple,0.0000,01-Apr-2019,01-May-2050,1328.65|2603.40|25343.15,31-May-2019|31-May-2020|31-May-2030,1.0000,years,192,01-Apr-2019,Fixed Income,1|0|0,DE,1.0,7.3500,low
Item,PensionB,PensionB,DCP,,EUR,IR_EUR,0.006442,forward,1,months,01-Jan-2048,simple,0.0000,01-Apr-2012,01-Dec-2047,15314|18362|25343.14,31-Dec-2018|31-Dec-2019|31-May-2030,1.0000,years,224|232|238|242|248|254|0|254,01-Apr-2012|01-Jan-2013|01-Jan-2014|01-Jan-2015|01-Jan-2016|01-Jan-2017|01-Aug-2017|01-Dec-2018,Fixed Income,1|0|0,DE,1.0,7.3500,low
HeaderCOM,nameCHAR,idCHAR,value_baseNMBR,typeCHAR,descriptionCHAR,currencyCHAR,riskfactorsCHAR,sensitivitiesCHAR,asset_classCHAR,modelCHAR,liquidity_classCHAR
Item,Goldmuenze 1 Unze,GOLDPHYS,1450.3200,COM,Goldmuenze 1 Unze,EUR,RF_COM_GOLD,1,Commodity,,mid
Item,Silbermuenze 1 Unze,SILVERPHYS,12.8000,COM,Silbermuenze 1 Unze,EUR,RF_COM_SILVER,1,Commodity,,mid
HeaderSENSI,nameCHAR,idCHAR,value_baseNMBR,typeCHAR,descriptionCHAR,currencyCHAR,riskfactorsCHAR,sensitivitiesCHAR,idio_volaNMBR,asset_classCHAR,modelCHAR,payout_yieldCHAR,div_monthCHAR,style_valuesCHAR,region_valuesCHAR,country_idCHAR,country_valuesCHAR,esg_scoreNMBR,issuerCHAR,counterpartyCHAR,designated_sponsorCHAR,market_makerCHAR,custodian_bank_underlyingsCHAR,country_of_originCHAR,fund_replicationCHAR,liquidity_classCHAR
Item,Allianz,840400,151.8000,EQU,Allianz,EUR,RF_EQ_ALLIANZ,1,,Equity,GBM,,,0.0|1|0.0|0.00|0.00|0.00|0|0|0,1|0|0|0,DE,1,7.0000,Allianz,,,,Allianz,Germany,,low
Item,iShares FTSE EPRA/NAREIT Global Property,A0LGQL,17.6700,RET,iShares FTSE EPRA/NAREIT Global Property Dividend Plus,EUR,RF_RE_DM,1,,Real Estate,GBM,0.008|0.009|0.009|0.008,2|5|8|11,0.05|0.35|0.16|0.12|0.15|0.06|0.04|0.05|0.02,0.2|0.6|0.2|0,US|JP|HK|AU|DE|US|CA|FR|SG|SE|CH|Other,0.5712|0.0825|0.0729|0.0511|0.0421|0.0378|0.0311|0.0273|0.0243|0.0159|0.0116|0.0332,4.9000,BlackRock,,Unicredit,Commerzbank,State Street,Ireland,Full,high
Item,APHRIA,APHRIA,1.0000,EQU,APHRIA,CAD,RF_EQ_NA,4,0.4000,Equity,GBM,,,0.0|0.0|0.0|0.00|0.00|0.00|0|1|0,0|1|0|0,CA,1,,,,,,,,,high
Item,AURORA,AURORA,3.0000,EQU,AURORA,CAD,RF_EQ_NA,5,0.2000,Equity,GBM,,,0.0|0.0|0.0|0.00|0.00|0.00|0|1|0,0|1|0|0,US,1,,,,,,,,,high
Item,Bitcoins,BTCOIN,5806.0000,ALT,BitCoins,EUR,RF_ALT_BTC,1,,Alternative,,,,,,,,,,,,,,,,mid
Item,ComStage ETF S&P 500,ETF012,264.4600,EQU,ComStage ETF S&P 500,EUR,RF_EQ_NA,1,,Equity,GBM,0.019,8,0.29|0.29|0.29|0.05|0.04|0.04|0|0|0,0|1|0|0,US,1,5.5000,Societe General,Barclays Bank,BNP Paribas,Bank of America,Societe General,Luxemburg,Swap,high
Item,ComStage ETF DJ STOXX 600,ETF060,64.1300,EQU,comstage ETF Dow Jones STOXX600,EUR,RF_EQ_EU,1,,Equity,GBM,0.035,8,0.33|0.26|0.27|0.05|0.05|0.04|0|0|0,1|0|0|0,GB|FR|CH|DE|NL|ES|SE|IT|DK|BE|Other,0.2535|0.1756|0.1525|0.1431|0.0526|0.0447|0.0418|0.0386|0.0286|0.0193|0.0497,7.2000,Societe General,Barclays Bank,BNP Paribas,Bank of America,Societe General,Luxemburg,Swap,high
Item,Comstage ETF MSCI World,ETF110,47.2200,EQU,comstage ETF MSCI World,EUR,RF_EQ_NA|RF_EQ_EU|RF_EQ_AP,0.67|0.2|0.13,,Equity,GBM,0.0254,8,0.3|0.3|0.3|0.04|0.02|0.04|0|0|0,0.2|0.67|0.13|0,US|JP|GB|FR|CA|CH|DE|AU|CN|NL|Other,0.6358|0.0801|0.0534|0.0374|0.0344|0.0321|0.0283|0.0232|0.0127|0.0122|0.0505,5.9000,Societe General,Barclays Bank,BNP Paribas,Bank of America,Societe General,Luxemburg,Swap,high
Item,ComStage ETF MSCI Pacific,ETF114,32.5000,EQU,comstage EF MSCI Pacific,EUR,RF_EQ_AP,1,,Equity,GBM,0.027,8,0.31|0.32|0.28|0.03|0.03|0.03|0|0|0,0|0|1|0,JP|AU|HK|SG|NZ,0.6612|0.1913|0.105|0.0356|0.0069,5.9000,Societe General,Barclays Bank,BNP Paribas,Bank of America,Societe General,Luxemburg,Swap,high
Item,Comstage ETF MSCI Emerging Markets,ETF127,34.0400,EQU,comstage ETF MSCI EM,EUR,RF_EQ_EM,1,,Equity,GBM,0.026,8,0.3|0.3|0.3|0.04|0.02|0.04|0|0|0,0|0|0|1,CN|KR|TW|IN|BR|ZA|RU|TH|MX|ID|Other,0.3246|0.1168|0.1135|0.0881|0.0776|0.0542|0.0391|0.03|0.0243|0.0219|0.11,4.5000,Societe General,Barclays Bank,BNP Paribas,Bank of America,Societe General,Luxemburg,Swap,high
