%RF_EQ_DE	RF_EQ_EUR	RF_EQ_EU	RF_EQ_NA	RF_EQ_AP	RF_EQ_EM	RF_COM_DIV	RF_RE_DM	RF_COM_GOLD	RF_COM_SILVER	RF_ALT_BC	RF_FX_EURUSD	RF_VOLA_EQ_DE	RF_IR_EUR_1Y	RF_IR_EUR_10Y	RF_IR_EUR_20Y	RF_IR_USD_1Y	RF_IR_USD_5Y	RF_IR_USD_10Y	RF_VOLA_COM_GOLD	RF_SPREAD_EUR_HY_5Y
1	0.96479531	0.89068458	0.81541365	0.70993283	0.69439159	0.33115636	0.63821681	0.22080366	0.35416923	0.40359487	-0.61216075	-0.62284355	-0.06524567	-0.19734282	-0.24681898	0.04582451	0.05205627	-0.03329206	-0.14692147	-0.032068739
0.96479531	1	0.86957209	0.83044694	0.62202878	0.63244914	0.2945948	0.55169818	0.12536616	0.27219383	0.42073935	-0.57521689	-0.69102309	-0.01053628	-0.1712586	-0.20785952	0.09558871	0.14270005	0.06016718	-0.17133163	-0.0004105669
0.89068458	0.86957209	1	0.77891625	0.7880198	0.79923519	0.46885906	0.58194043	0.13062329	0.33712007	0.31553421	-0.51734249	-0.54845732	-0.08042557	-0.22367841	-0.2833186	0.02667638	0.15610599	0.09308009	-0.11299047	0.0376210567
0.81541365	0.83044694	0.77891625	1	0.69512689	0.60890841	0.26661761	0.56961844	0.10823017	0.31143036	0.33720469	-0.55072329	-0.62682214	-0.0141706	-0.10841784	-0.15798437	0.22442445	0.34288554	0.19591182	-0.13455683	-0.0210689181
0.70993283	0.62202878	0.7880198	0.69512689	1	0.7303195	0.49955316	0.61327071	0.24313086	0.44834238	0.07834344	-0.62283285	-0.24642833	-0.11478477	-0.17069858	-0.24335781	-0.03483855	0.06960425	0.01256621	0.00138863	-0.0022903796
0.69439159	0.63244914	0.79923519	0.60890841	0.7303195	1	0.66660955	0.63096182	0.26649698	0.4022515	0.17089863	-0.28971895	-0.36024011	0.05033381	-0.23360306	-0.34396256	-0.26230767	-0.02680595	-0.09918442	-0.24754376	-0.0122959169
0.33115636	0.2945948	0.46885906	0.26661761	0.49955316	0.66660955	1	0.25208744	0.32367296	0.47706485	0.10085567	-0.06809614	-0.16260018	0.05332976	-0.0817752	-0.05820945	-0.51920859	-0.09022359	-0.01146888	-0.20583062	-0.0093810827
0.63821681	0.55169818	0.58194043	0.56961844	0.61327071	0.63096182	0.25208744	1	0.47793498	0.58744179	0.03582193	-0.58890867	-0.32081885	0.22159299	-0.1910414	-0.24691663	-0.19677168	-0.40090849	-0.58784354	-0.24496219	-0.024429074
0.22080366	0.12536616	0.13062329	0.10823017	0.24313086	0.26649698	0.32367296	0.47793498	1	0.8194337	-0.29136512	-0.4320249	0.23800852	-0.06362521	-0.19258	-0.15323616	-0.15587108	-0.47737107	-0.53655966	-0.22442541	0.0294497414
0.35416923	0.27219383	0.33712007	0.31143036	0.44834238	0.4022515	0.47706485	0.58744179	0.8194337	1	0.04380945	-0.35152585	-0.03033892	-0.03414212	-0.21507367	-0.13449476	-0.18184503	-0.34345505	-0.37774629	-0.41708995	0.0169987468
