%term	moneyness	implied_vola
30	1.12972973	0.326
30	1.105820106	0.319
30	1.082901554	0.289
30	1.060913706	0.276
30	1.039800995	0.27
30	1.019512195	0.258
30	1	0.252
30	0.981220657	0.241
30	0.963133641	0.232
30	0.945701357	0.226
30	0.928888889	0.223
30	0.912663755	0.221
30	0.896995708	0.221
30	0.88185654	0.228
93	1.12972973	0.274
93	1.105820106	0.283
93	1.082901554	0.274
93	1.060913706	0.267
93	1.039800995	0.258
93	1.019512195	0.251
93	1	0.243
93	0.981220657	0.236
93	0.963133641	0.229
93	0.945701357	0.224
93	0.928888889	0.218
93	0.912663755	0.213
93	0.896995708	0.211
93	0.88185654	0.208
